POINTNAME,POINTNUMBER,UNIT,ASSETID,CIRCUIT,STATIONNAME
RSR1230 - Demand IC,855343,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW C,855344,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - VC,814877,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW 3PH,814907,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - IG,813885,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - VS,813913,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - Max Demand IB,820992,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Demand IA,820999,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Demand IB,821021,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Max Demand IG,821030,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Max Demand IG,821480,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - IB,821499,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - Ground Trip,821502,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - VC,821474,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - IG,867710,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Max Demand IG,867737,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - V2,876616,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VC,867731,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - IG,844097,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Max Demand IA,844121,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VC,844118,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0045124 - Volts,1000115,VOLTS,DMS.1658447E:0045124,TEST,ALHAMBRA
0208262 - Volts,1017005,VOLTS,DMS.4090928E:0208262,BRAUN,ALHAMBRA
0208016 - Volts,985205,VOLTS,DMS.4761913E:0208016,COMMONWEALTH,ALHAMBRA
0208047 - Volts,985085,VOLTS,DMS.4429585E:0208047,GRAVES,ALHAMBRA
RAR1599 - Demand I-2,1896943,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Instant. I-1,1896950,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0005391 - Volts,922685,VOLTS,DMS.1417296E:0005391,ASTEROID,ALHAMBRA
0040150 - Volts,878645,VOLTS,DMS.1723492E:0040150,ASTEROID,ALHAMBRA
0050360 - Volts,808385,VOLTS,DMS.1237553E:0050360,TRI CITY,ALHAMBRA
0045952 - Volts,808295,VOLTS,DMS.4538660E:0045952,GRAVES,ALHAMBRA
0045106 - Volts,802235,VOLTS,DMS.1430283E:0045106,TAKNING,ALHAMBRA
0045102 - Volts,802205,VOLTS,DMS.1918953E:0045102,KAY,ALHAMBRA
0005076 - Volts,800375,VOLTS,DMS.1430295E:0005076,TAKNING,ALHAMBRA
