POINTNAME,POINTNUMBER,UNIT,ASSETID,CIRCUIT,STATIONNAME
RSR8087 - IC,867741,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW B,867733,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW 3PH,867761,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Max Demand IB,844086,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Demand IA,844093,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Phase Trip,844096,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Fault Current,844100,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Demand IC,844122,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - KW A,844131,KW,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0208272 - Volts,1013585,VOLTS,DMS.1237585E:0208272,TRI CITY,ALHAMBRA
0191065 - Volts,970325,VOLTS,DMS.4560724E:0191065,BRAUN,ALHAMBRA
RAR1599 - Demand I-3,1896944,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Fault Current,1896946,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0045964 - Volts,1154136,VOLTS,DMS.1013171E:0045964,MARGUERITA,ALHAMBRA
0013263 - Volts,806315,VOLTS,DMS.884038E:0013263,MARENGO,ALHAMBRA
0005392 - Volts,1128936,VOLTS,DMS.1429998E:0005392,TEST,ALHAMBRA
RFI22268B - Conductor Temp,1796773,DEG C,DMS.1723496E:RFI22268B,ASTEROID,ALHAMBRA
RSR2052 - Max Demand IB,847911,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - Max Demand IC,847992,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - VC,847959,KV,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RFI01484A - Conductor Temp,1784313,DEG C,DMS.4353599E:RFI01484A,TRI CITY,ALHAMBRA
RSR1186 - IA,836233,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - IC,836211,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - Max Demand IB,803035,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - Max Demand IB,855291,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Demand IG,855310,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - 3I2,861230,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - IA,814909,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - IG,814872,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Fault Current,814875,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - VB,814876,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Fault Current,813888,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - IC,813916,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - KW A,813919,KW,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - Demand IC,821028,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Demand IA,821449,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - IC,821500,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - IA,821506,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - VS,821481,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - KW A,821503,KW,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - Phase Trip,867709,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Demand IC,867735,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Ground Trip,867759,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Max Demand IC,867764,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - IB,844127,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0180153 - Volts,978845,VOLTS,DMS.1430541E:0180153,ST. CHARLES,ALHAMBRA
0115941 - Volts,1185236,VOLTS,DMS.4469500E:0115941,KAY,ALHAMBRA
0045104 - Volts,934295,VOLTS,DMS.4535629E:0045104,TAKNING,ALHAMBRA
RAR1599 - Instant. I-2,1896951,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
