POINTNAME,POINTNUMBER
RTEM Aggregate 5545226 - KW [P5545226],1447011
RTEM Aggregate 5571730 - KW [P5571730],1447681
RTEM Aggregate 5557455 - KW [P5557455],1447357
RTEM Aggregate 5532205 - KW [P5532205],1446433
RTEM Aggregate 5519516 - KW [P5519516],1445797
RTEM Aggregate 5503681 - KW [P5503681],1444731
RFI00660C - Conductor Temp,1759393
RFI00660A - Conductor Temp,1757433
RFI00660B - Conductor Temp,1754833
RSR1186 - Ground Trip,836229
RSR1186 - KW A,836230
RSR1186 - KW 3PH,836231
RSR1186 - IA,836233
RSR1186 - Max Demand IC,836234
RFI01484A - Conductor Temp,1784313
RFI01484B - Conductor Temp,1784333
RFI01484C - Conductor Temp,1784353
RSR8087 - V2,876616
RSR8087 - 3I2,876617
0038442 - Volts,834621
RSR1186 - VB,836200
RSR1186 - VC,836201
RSR1186 - KW B,836203
RSR1186 - Max Demand IA,836204
RSR1186 - Demand IC,836205
RSR1186 - KW C,836206
RSR1186 - Max Demand IG,836207
RSR1186 - VS,836208
RSR1186 - IB,836210
RSR1186 - IC,836211
RSR1186 - Max Demand IB,803035
0002152 - Volts,852614
RAR1599 - Demand I-1,1896942
RAR1599 - Demand I-2,1896943
RAR1599 - Demand I-3,1896944
RAR1599 - Demand I-G,1896945
RAR1599 - Fault Current,1896946
RAR1599 - Instant. I-1,1896950
RAR1599 - Instant. I-2,1896951
RAR1599 - Instant. I-3,1896952
RAR1599 - Instant. I-G,1896953
RAR1599 - Max Demand I-1,1896954
RAR1599 - Max Demand I-2,1896955
RAR1599 - Max Demand I-3,1896956
RAR1599 - Max Demand I-G,1896957
RAR1599 - Volts,1896968
RSR1186 - Demand IG,836177
RSR1186 - VA,836178
RSR1186 - Demand IA,836181
RSR1186 - Phase Trip,836190
RSR1186 - IG,836196
RSR1186 - Demand IB,836198
RSR1186 - Fault Current,836199
RFI22267A - Conductor Temp,1779353
RFI22267B - Conductor Temp,1779373
RFI22267C - Conductor Temp,1779393
RSR1003 - Max Demand IB,844086
RSR1003 - Demand IG,844089
RSR1003 - VA,844090
RSR1003 - Demand IA,844093
RFI22268A - Conductor Temp,1796753
